Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2025-100000,2025-04-15,2025-04-17,Second Class,AA-10315,Andrew Allen,Consumer,United States,Phoenix,Arizona,85001,West,Fur-Boo-10008086,Furniture,Bookcases,5-Shelf Wood Bookcase,127.59,1,0.0,10.11
2,CA-2025-100001,2025-03-30,2025-04-01,Second Class,PK-19075,Pete Kriz,Corporate,United States,Austin,Texas,78701,Central,Off-Art-10003235,Office Supplies,Art,Dual Tip Brush Marker Pens 72-Color Set,40.54,1,0.0,6.55
3,CA-2025-100002,2025-01-19,2025-01-22,First Class,KB-16585,Ken Black,Corporate,United States,Phoenix,Arizona,85001,West,Off-Art-10006781,Office Supplies,Art,Acrylic Paint Set 24 Colors,32.48,2,0.1,-7.41
4,CA-2024-100003,2024-05-25,2024-05-28,First Class,IM-15055,Irene Maddox,Consumer,United States,Seattle,Washington,98101,West,Off-App-10005912,Office Supplies,Appliances,Dyson Pure Cool Air Purifier Fan,747.68,2,0.1,109.8
5,CA-2025-100004,2025-12-30,2025-12-31,Same Day,RB-19705,Raymond Buch,Consumer,United States,San Diego,California,92101,West,Fur-Cha-10009859,Furniture,Chairs,Steelcase Gesture Office Chair,6407.68,4,0.2,791.21
6,CA-2026-100005,2026-05-31,2026-06-02,Same Day,EP-13915,Emily Phan,Consumer,United States,Boston,Massachusetts,02101,East,Off-Art-10004433,Office Supplies,Art,Professional Sketchbook 2-Pack,15.3,1,0.2,-1.71
7,CA-2024-100006,2024-04-24,2024-04-30,Standard Class,CG-12520,Claire Gute,Consumer,United States,Atlanta,Georgia,30301,South,Off-Pap-10004210,Office Supplies,Paper,Premium Multipurpose Copy Paper Case,79.64,2,0.2,-4.62
8,CA-2026-100007,2026-03-04,2026-03-06,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Nashville,Tennessee,37201,South,Fur-Cha-10006680,Furniture,Chairs,Herman Miller Aeron Chair,7452.86,5,0.0,316.47
9,CA-2024-100008,2024-07-29,2024-08-01,First Class,RB-19705,Raymond Buch,Consumer,United States,Jacksonville,Florida,32201,South,Fur-Cha-10002264,Furniture,Chairs,Secretlab TITAN Evo Gaming Chair,3329.25,6,0.0,-71.45
10,CA-2025-100009,2025-03-09,2025-03-13,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Houston,Texas,77001,Central,Fur-Cha-10001310,Furniture,Chairs,Herman Miller Aeron Chair,1513.3,1,0.0,-75.3
11,CA-2026-100010,2026-01-03,2026-01-07,Standard Class,CG-12520,Claire Gute,Consumer,United States,Philadelphia,Pennsylvania,19101,East,Off-Art-10006594,Office Supplies,Art,Dual Tip Brush Marker Pens 72-Color Set,65.0,2,0.0,-1.28
12,CA-2025-100011,2025-10-25,2025-10-28,First Class,SN-20785,Steve Nguyen,Home Office,United States,Philadelphia,Pennsylvania,19101,East,Tec-Cop-10009293,Technology,Copiers,HP LaserJet Pro Multifunction,414.25,1,0.0,111.7
